Row,Col,Kzone
3,80,0
3,81,0
3,82,0
3,83,0
3,84,0
3,85,0
3,86,0
3,87,0
2,88,0
3,88,3
2,89,0
3,89,3
2,90,0
3,90,3
2,91,0
3,91,3
2,92,0
3,92,3
2,93,0
3,93,3
3,94,0
3,95,0
3,100,0
3,101,0
3,102,0
3,103,0
2,104,0
3,104,2
2,105,0
3,105,2
2,106,0
3,106,2
2,107,0
3,107,2
2,108,0
3,108,2
2,109,0
3,109,2
2,110,0
3,110,2
