sourceFile,CZ1,CZ2,CZ3,CZ4,CZ5,CZ6,CZ7,CZ8,CZ9,CZ10,CZ11
7b54e4928d4d5f6fde6a387bd2581e59.csv,2,1.5,1.9,2,1.9,0.8,2,0.6,1.9,1.9,1.9
7b595d83d72117f3545731e43895a15f.csv,1.9,1.9,1.9,2,2,2,2,0.6,1.2,2,1.9
7b6a8b2c8dc20527ee430e71ee7359db.csv,1.9,1.9,2,1.9,1.9,1.8,2,0.7,2,1.6,2
7b7a8e124d858888b98caf7462ff95e4.csv,1,1.5,1.9,2,2,1.9,1.9,0.7,1.9,2,1.9
7b7c808806cba2c5c71b282466545256.csv,1.9,1.9,0.8,2,2,1.8,1.9,0.6,2,2,2
7b8d164f1005e328ae4d0bf5d14e9c55.csv,2,1.5,2,1.9,1.9,1.9,1.9,0.6,1.9,2,2
7b8ef949e91656526acfea583eb67f8c.csv,2,1.5,1.9,2,2,2,1.4,0.7,2,2,1.8
7b948643511798cffad10ec2fa770284.csv,2,1.9,2,2,2,1.8,1.9,0.8,1.9,1.9,1.8
7ba113db047354af109bf9440adcc12c.csv,2,1.9,2,2,1.9,1.8,1.9,0.6,1.9,1.9,2
7bbef8f45d627c33b3c2ba83ba35f129.csv,0.9,1.5,2,2,2,1.5,2,0.8,1.9,2,2
7bc4dbcd9209e8dfd357fba1c25d1de8.csv,1.9,1.9,2,2,2,1.9,1.9,0.7,1.9,2,1.8
7bc9e1f04ec3b303f5db1dfb8434f1c5.csv,1.7,1.4,2,2,1.9,2,1.8,0.7,1.8,1.9,2
7bca590181f5e664ca90f1a877410a4b.csv,1,1,1,1,1,1,0.7,1,1,1,1
7bccbb7514dfc1500d96f47d59ef1cc6.csv,2,1.5,1.9,2,1.9,1.6,1.9,0.8,2,2,0.6
7bce84a90f3458da393e972319ccf445.csv,1.9,1.8,1.9,2,1.9,1.9,2,0.6,1.9,1.2,2
7bcfc85ae6535151ed0f30ef02142fca.csv,1.9,0.8,2,1.9,1.9,1.9,1.9,0.6,1.9,2,1.9
7bd80f52d9b8fbdf58b1f7548fe6b672.csv,2,1.9,2,1.9,2,2,0.7,0.6,2,1.9,2
7bdd396899ce6e247d1c7eb723b9be32.csv,1.9,1.5,1.9,1.1,1.9,2,2,0.7,2,1.9,1.9
7be1f36d43d36494e3f14b13f9cf6f9c.csv,2,1.5,1.9,0.5,1.9,1.9,2,0.7,2,2,1.9
7be8b3273aa3fd768aee405b75f60c89.csv,1.9,1.5,2,2,2,2,1.9,0.7,2,1.6,1.9
7bebba1194d2821256bd4003acb45190.csv,1.9,1.5,0.6,1.9,1.9,1.9,1.9,0.7,1.9,2,2
7beeb021c9389812a18f9c0291093a0e.csv,1.9,0.7,2,2,1.9,1.9,2,0.7,1.9,1.9,2
7bf604177b4451d9e8b14afb830fcdd2.csv,2,1.5,0.9,2,1.9,1.9,2,0.7,2,2,1.9
7bfe208b2a5ea9377aab01bde77ec0eb.csv,1.9,1.9,2,2,2,1.9,1.9,0.7,1.9,2,1.1
7c2d8056e2e65d6a64e7364efd05a014.csv,1,1.9,1.9,2,1.9,2,2,0.7,1.9,2,1.9
7c39cd64b58610f2a96fd724be521ae6.csv,1.9,1.5,1.9,1.9,1.9,2,2,0.6,2,1.5,1.9
7c43584c5b8e4a0710bffe3937afd7d7.csv,1.9,1.5,1.9,2,2,1.9,1.9,0.7,2,2,1.9
7c459889fa9c4a9c8cba035def8343a0.csv,1.9,1.5,2,2,2,1.2,2,0.9,2,2,1.1
7c4b5ebc8f4134493d8c1c101755b94c.csv,1.9,1.5,1.9,2,1.9,1.9,1.9,0.7,1.9,0.5,2
7c4cee6303b44bba5a0058a010a93ab4.csv,1.9,1.6,2,2,1.9,1.8,2,0.7,2,1.9,1.9
7c620ebce98ccbe9b81daba7c5697b0f.csv,1.9,1.9,2,1.9,1.9,0.6,1.9,0.5,1.9,1.9,2
7c64ce44b815a22f9a693f9cac6a1203.csv,2,1.5,1.4,1.9,2,1,2,0.8,2,2,2
7c659881e114675aa8c58c17d354550e.csv,2,1.4,1.9,2,1.9,1.5,1.9,1.6,2,1.9,2
7c6c2109c9df01bd19d9d0208e53c555.csv,2,1.5,2,2,1.9,1,2,1.5,2,1.9,2
7c6d2bc051e6c7c634ae699075c70a5a.csv,1.9,1.5,1.4,1.9,1.9,2,2,0.6,2,1.9,1.9
7c6dc0c85a2f1cea77f345a34bd9f468.csv,1.9,1.9,1.9,1.9,1.9,2,1.9,1.8,1.9,2,2
7c713a332edd239d82eec2eed0ad350a.csv,1.9,1.5,1.1,2,1.9,1.8,1.9,0.7,2,2,2
7c77f7d2d0a0c3e9295f609c305e9558.csv,1.3,1.9,1.9,2,2,1.9,1.9,0.6,1.9,2,1.9
7c789abcfa1ae7665d8b33cadbe405e2.csv,1.9,1.5,1.9,2,1.4,1.9,1.9,0.7,2,1.9,1.9
7c7d9607fa3fea7394ea4beeb3f718c0.csv,1.9,1.9,1.9,1.6,1.9,1.9,1.9,0.7,1.9,2,1.9
7c85630c938947201bb8ca0848a3671e.csv,1.9,1.5,2,2,2,2,1.9,0.7,1.5,1.9,2
7c92a61c033c2019f5277d39729e105e.csv,2,1.5,2,0.7,1.9,1.5,2,0.8,1.9,1.9,2
7c96ecf2ae75abfcd1c428ce36a410cd.csv,2,1.9,2,0.7,2,1.9,1.9,0.8,2,2,1.8
7c96ff2cba10e9a7092fe092f27ff104.csv,2,1.5,1.9,1.9,1.9,0.9,2,0.7,1.9,2,1.8
7ca23a652403b26acee49dccb142b2ae.csv,1.9,1.5,1.3,1.9,1.9,1.8,1.9,0.7,1.9,2,2
7ca28ca3646417d0a2351cdeaf63f781.csv,2,1.4,2,2,2,1.6,2,0.8,0.6,2,2
7ca39b443cdaabaee6f362d825e583f6.csv,1.9,1.4,2,2,2,0.6,2,0.8,2,2,2
7ca4419db827a9d4763ba0d208380613.csv,1.9,0.9,2,1.9,1.9,1.8,1.9,0.7,1.9,1.9,2
7ca7f7944085a1feca16a46ff63f85b8.csv,1.9,1.5,1.9,1.9,1.9,1.5,2,0.6,1.9,2,1.9
