sourceFile,CZ1,CZ2,CZ3,CZ4,CZ5,CZ6,CZ7,CZ8,CZ9,CZ10,CZ11
bde7d7dff47962810cee3ba4782b0b27.csv,1.9,1.9,1.9,2,2,1.9,2,0.6,0.8,2,1.9
bdecc571aac39992e3ded86b5194bb69.csv,1.9,1.9,1.9,2,2,1.9,1.9,0.6,1.9,2,1.9
bdf1be821984ff98330f0a15c6629f01.csv,0.5,1.5,2,2,2,1.5,2,0.8,1.9,2,2
bdfe904dd8d6f094e4e23bfa17bef96b.csv,2,1.9,2,2,1.7,2,2,0.7,1.9,1.9,1.8
be0f449fa520f7622581e1538931efe4.csv,2,1.5,2,2,1.9,1.5,2,0.8,1.9,2,1.7
be132704a55c09b25de3cc6c998c78dd.csv,1.9,1.3,1.9,2,1.9,2,2,0.7,2,1.9,1.9
be1835de9142b3b207889ef9d37cf761.csv,1.9,1.5,2,2,1.9,1.8,1.9,0.7,2,2,1.2
be19bcb8f6babb88dd71a3bf70bef102.csv,1.9,1.5,2,1.9,2,1.9,1.8,0.6,1.8,1.9,1.9
be1b6f5a83f72a48d245df5a8d04056f.csv,2,1.9,1.3,2,1.9,2,2,0.7,2,1.9,1.9
be214396d011cadc1e50eaabe5440a71.csv,1.8,1.5,2,2,1.9,2,1.8,0.6,1.8,2,2
be2451c9304d8b9bb2a77ab64add3e8a.csv,1.9,1.7,2,2,2,2,1.9,0.7,1.9,1.9,1.8
be2e9a69cc95a3480827af4e2b51e774.csv,1.9,1.5,2,2,1.9,2,2,0.6,0.6,1.9,1.9
be515cf1df7b8c5acf795c04aa07414b.csv,1.9,1.4,2,2,2,1.8,2,0.8,2,2,2
be5ddb0f00ddb222d5d891e0207ea754.csv,2,1.5,1.9,2,1.9,2,1.9,0.6,1.9,1.9,1.9
be60f93668ccd4662c49314fed08d930.csv,1.9,1.9,2,1.9,1.9,1.2,2,0.7,2,1.9,1.9
be63172753c26b9414111ef38612ef89.csv,1.6,1.5,1.9,2,1.9,2,1.9,0.7,2,2,1.9
be655067f225b095671446e758a488b1.csv,1.9,1.9,1.9,1.9,1.9,2,2,0.7,2,1.9,1.9
be68398622fa4b4bb7e278bd4fcba93a.csv,2,1.5,1,2,2,1,1.9,0.9,1.4,1.9,2
be81fade8d2c71d937446c0398814daa.csv,1.9,1.5,1.9,2,1.9,1.8,1.9,0.7,1.9,2,2
be82305410aa3d5f597c8ebdd95f4d58.csv,1.9,1.5,1.9,1.9,1.9,2,2,0.6,2,1.7,1.9
be8372247262e50f1d3589f4a266c971.csv,2,1.9,1.9,1.9,1.9,1.6,2,0.6,2,1.9,2
be87d69e70c14b5465bff4d3ffd04c0b.csv,2,1.9,1,1,0.8,1,2,0.8,2,2,2
be99044ec719f022895b160fc8eddf21.csv,1.9,0.7,2,1.9,1.9,1.8,1.9,0.7,2,2,2
bea83c5d90c65635797ebb484bbf0f06.csv,2,1.9,2,2,1.2,1.9,2,0.5,2,1.9,2
bea9ae6b45d47d1dc374770d795edc84.csv,2,1.9,1.9,1.9,2,1.9,1.9,0.6,2,2,1.5
beade400b402d073ec339947aed2f30d.csv,2,1.5,0.9,1.9,1.9,1.9,2,0.8,1.9,2,1.8
beb64e915d085a48e7c8c2262d73c71a.csv,1,1,1,1,1,1,2,1,1,1,1.8
bec31afbc5f44484016ac833d3a30b67.csv,1.9,1.5,2,1.9,1.7,1.8,1.9,0.6,2,2,2
becaf0cf4faa5604e867c1c343dd7a99.csv,1.9,1.5,2,2,2,1.3,2,1,2,1.9,1.8
bed85545184b14465da056acc6837149.csv,1.9,1.8,2,1.9,2,1.9,1.9,0.7,1.9,1.6,1.9
bed933baa758cf1a034112b54b90603d.csv,2,1.5,2,2,1.9,2,1.8,0.9,1.8,2,1.9
bedf20f3b31812690fc13705d0a027ef.csv,2,1.9,1.9,2,2,1.5,1.9,1.3,2,2,1.9
bee066a96b20e69a4c05d9e41c904b26.csv,1.9,1.9,1.9,2,1.9,2,1.9,0.8,0.5,2,1.7
bee35aabfd70f50cd2c5c8f0a05c0712.csv,1.9,1.5,2,2,1.9,1.8,1.9,0.7,1.9,1.9,0.9
beedca61f6f5d2c68db3f90a3d558d92.csv,2,1.4,2,2,2,1.6,2,0.8,1.2,2,2
bef1b9844ce51ce5109d90104c2b8096.csv,2,1.5,1.3,1.9,2,1,2,0.8,2,2,2
bef871bbe6c432730a180550fb65fd42.csv,0.7,1.9,1.9,1.9,1.9,2,1.9,0.5,1.9,2,2
befa848f1d474aa0950dfa5f3050970f.csv,2,1.5,1.9,2,1.9,1.9,2,0.7,2,2,1.9
bf1ebc820785ed274fce1378a8480965.csv,2,1.9,2,2,1.9,1.8,1.9,0.7,1.9,1.2,2
bf2267a44a851a9cf49c825608451136.csv,1.9,1.9,1.9,1.9,1.9,2,2,0.7,1.3,2,1.9
bf2e2d3527fe851010eca44c98d48942.csv,1.9,1.9,1.9,1.9,1.9,0.9,2,0.9,2,2,1.9
bf3b41589eca193599dcdaacfaa1d399.csv,1.6,1.9,1.9,2,1.9,2,2,0.7,1.9,2,1.9
bf455fae6a9dc80a077937ce68c997ee.csv,1,1.5,1.9,2,1.9,1.5,2,0.8,2,1.9,2
bf471fc03c0ccc37bba9d2ef535ef9b0.csv,1.9,1.9,2,1.9,2,1,0.5,0.9,1.9,1.9,1.9
bf4803a1d5c680396e476a9b689253ec.csv,2,1.9,2,1.9,1.9,1.9,2,0.6,2,1.9,2
bf49a9637ef46ab86d4241d7f55d69d5.csv,2,1.8,2,1.9,1.9,1.8,1.9,1.8,1.9,2,2
bf4ac58a25ab0e4fbb27841a752bc08f.csv,1.9,1.5,1.9,2,1.9,1.9,1.9,0.7,1.9,1,2
bf4caf3fcbe32a8d5ef465b56506502f.csv,2,1.8,2,1.9,1.9,1.8,1.9,0.7,1.9,2,1.1
bf59ca5d268080de19a91611ad34a7b2.csv,2,1.9,1.9,0.5,2,1.9,1.9,0.5,2,1.9,2
