sourceFile,CZ1,CZ2,CZ3,CZ4,CZ5,CZ6,CZ7,CZ8,CZ9,CZ10,CZ11
d2e1eb962710bc9484cef41184c2259d.csv,1.9,1.4,0.6,1.9,1.9,2,2,0.7,2,2,1.9
d31864cccf81b042dd2fe85546b7497d.csv,2,1.5,2,1.9,1.9,1,2,0.6,1.9,1.9,2
d32197ebdd9ae4444ff935b21e8e607e.csv,2,1.9,1.8,2,1.9,1.1,1.9,0.8,1.9,1.9,1.8
d32b7c382228cde8fc33f5dfea9555f8.csv,2,1.9,2,2,2,1.9,1.9,0.7,1.9,1.9,1.8
d32ec5a315d35cdcbc6563bcdf2b9aed.csv,2,1.5,1.3,1.9,1.9,1.9,2,0.8,1.9,2,1.8
d3396b0bcc016957090c10005841f73e.csv,2,1.8,2,1.9,1.9,1.8,1.9,0.7,1,2,1.9
d33edce839018aa9c73d7f36ac9cfa2a.csv,2,1.3,2,1.9,1.9,2,2,0.6,2,1.9,2
d344cee12c9bbfb0a6a3d5f529213c0d.csv,1.9,1.4,2,0.5,1.9,1.8,2,0.7,2,2,1.9
d3493f775d94b24c5b6ef092d953ef60.csv,1.9,0.5,2,2,1.9,1.5,2,0.8,2,2,2
d35a3848b1d8250330b851da67d0be71.csv,1.9,1.9,1.9,2,0.9,2,2,0.6,2,2,1.9
d375e83f93e70dab3d048761c6297544.csv,0.9,1.5,1.9,2,2,1.6,1.9,0.8,2,2,2
d37672347207f47dbbc8d8a67f6c6608.csv,2,1.9,2,2,1,1.8,1.9,0.7,2,2,1.8
d37dab457c4ec1f563fce80d681b4754.csv,2,1.9,1.9,0.5,1.9,1.9,1.9,0.5,2,1.9,2
d37ea3edb8140c30a543c4eb6cb5d264.csv,1.9,2,2,1.9,1.9,1.8,1.9,0.7,2,2,2
d38a9ed7f22c5b3204b80c32fc419857.csv,2,1.5,2,1.6,1.9,1.5,2,0.8,2,1.9,2
d3a6a477be59783fd8308f41379762b9.csv,1.9,1.3,2,2,2,2,1.9,0.7,1.9,1.9,1.8
d3a7b0497ab967cb9264d51da9a94570.csv,1.9,1.5,1.9,2,2,1.6,0.9,0.8,1.9,2,2
d3abba59ca308b89dff18776b39f27be.csv,2,1.9,1.9,2,2,1.9,1.4,0.5,2,1.9,2
d3abed06ad44ea209af2ea37b9f8dc20.csv,2,1.9,1.9,1.9,1.9,2,1.9,0.5,1.2,2,2
d3b16351dd5d0fcc5c13180661a41713.csv,1.9,1.9,2,2,2,1.3,2,0.6,2,2,2
d3b2ed74555fdeb01d58aaacc8ca4bd2.csv,1.9,1.5,2,2,1.9,2,1.9,0.7,1.8,1.9,1.9
d3cab1fc83e57dd8ca1ddcfd9414d038.csv,2,1.9,1.9,2,2,1.2,1.9,0.7,1.9,2,1.8
d3d181ec8eebc07dddf34e35662923f4.csv,2,1.5,1.9,1.2,1.9,2,1.9,0.6,2,1.9,1.9
d3d23946faccb986cd801566eaf5495c.csv,1.9,1.9,1.9,2,0.5,2,2,0.7,1.9,2,1.9
d3da2a700d6640a43640ae3662f2223b.csv,1.9,1.2,1.9,2,1.9,1.9,2,0.5,1.9,1.9,2
d3dd98656c977c1ad12d8d28da934ee5.csv,1.9,1.9,1.9,1.9,1.9,1.8,2,0.9,2,2,1.9
d40863c92a2113e6a0041aca20aa784f.csv,2,1.8,2,1.9,2,1.4,1.9,0.7,1.9,1.9,2
d41894476bc5e4e87c3302584472bcf7.csv,1.9,1.5,2,1.4,2,1.2,2,0.9,2,2,1.8
d4201963dfe9a7acff5ad1470544bf88.csv,2,1.9,1.9,2,1.9,1.9,2,0.6,2,2,1.3
d42590ebfecbd7eb65094722bbb2a2cc.csv,1.9,1.9,0.5,2,1.9,1.9,1.9,0.7,1.9,1.9,1.9
d42750a48dba5c1d0149730a91174d59.csv,1.9,1.5,1.9,2,2,1.6,1.9,0.7,1.9,2,2
d431feafe75b695e03629915dddb576b.csv,1.9,0.9,1.9,1.9,1.9,1.8,1.9,0.7,1.9,2,2
d4334fc8aaebfe30a0573c3b98f1e681.csv,2,1.5,1.9,1.9,2,1.9,1.9,0.7,2,2,1.8
d43ae23df49dc36f51025762cf7b8e18.csv,2,1.3,1.9,2,2,1.8,1.9,0.7,2,2,1.8
d44c67fe5e6ab5635266811dc244c096.csv,1.9,1.2,1.9,1.9,1.9,1.9,1.9,0.6,1.9,2,1.9
d453809268c17f006c19dedfa4f0509b.csv,1.9,1.8,2,2,1.3,1.9,2,0.7,1.9,1.9,2
d456e5772016c34a8f39f38796bb12d6.csv,1.9,0.9,1.9,2,2,2,1.9,0.7,1.9,2,1.8
d45fd809dba9ece16a5971debe3efd0f.csv,2,0.7,1.9,1.9,1.9,1.9,1.9,0.5,2,1.9,2
d461b1c470fb1a01287e612bf874f4c0.csv,2,1.5,1.9,2,2,2,2,0.6,1.9,1.8,2
d471f2767e9f9560a106695e75bf6e23.csv,1.9,1.5,2,2,2,1.8,1.9,1.8,1.9,2,2
