sourceFile,CZ1,CZ2,CZ3,CZ4,CZ5,CZ6,CZ7,CZ8,CZ9,CZ10,CZ11
bcf4eeec2624bd2ee9c8e2bd055cdb1a.csv,1.9,1.9,2,1.9,1.4,1.9,2,0.6,1.9,2,1.9
bcf5df6a49d5f932ea9de78159bb5618.csv,2,1.9,1.9,0.8,1.9,2,2,0.6,2,1.9,2
bd0431545d71d2e9bba79e30bfcd8ad2.csv,1.9,0.8,1.9,1.9,1.9,2,2,0.7,2,2,1.9
bd094dd1b98a67836760d953fef2d127.csv,1.9,1.5,2,1.9,1.9,1.9,1,0.6,2,1.9,1.9
bd0c8e4af70564ac25e42209f6e75a19.csv,2,1.5,1.9,2,2,2,1.7,0.6,1.9,1.9,2
bd0ca3126c3d1be1a412980cc939f004.csv,2,1.5,2,1.9,1.9,1.4,2,0.8,2,1.6,2
bd16defae1286ff6514dc78797e321c0.csv,2,1.5,1.9,2,1.9,1.5,1.9,0.8,2,1.6,2
bd2181006fb3aa1fd38a7ff0c36c929b.csv,2,1.5,1.9,2,1.9,2,1.2,0.6,1.9,1.9,1.9
bd2b02a28cb4d81df2dd2793b7f37c73.csv,2,1.9,2,2,2,1.9,2,0.5,2,2,1
bd2db0c274f36747481c4128b0d8256e.csv,1.9,1.9,2,1.9,1.9,1.8,2,0.7,1.2,1.9,2
bd345c851ec3f9e92deba7e28e884958.csv,2,1.9,1.9,2,2,1.9,1.5,0.5,2,1.9,2
bd367106055d1bd09595fbe58b719c5c.csv,1.9,1.7,1.9,2,2,2,1.9,0.7,1.9,2,1.8
bd371fe92443a4e8dab6c4e40ef4d71b.csv,1.9,1.5,1.9,2,0.8,1.6,2,0.8,2,2,2
bd3974800c8094c7b198aa3e13a44e27.csv,1.9,1.9,2,0.5,1.9,1.8,2,0.7,2,1.9,1.9
bd3d9c547aaa03b5771f15107198cdf0.csv,1.9,1.5,2,1.9,1.9,1.9,1.5,0.6,2,1.9,1.9
bd41863877dfe5cc604a386ab04d921b.csv,1.9,1.9,1.9,2,1.9,2,2,0.7,2,0.5,1.9
bd4b9d5fd217ccd43e4ffb1bbb74ab0d.csv,1.4,1.9,1.9,2,1.9,2,2,0.7,2,1.9,1.9
bd4d678bba944f54692906de5710fd3b.csv,2,1.9,1.9,2,2,1.9,1.2,0.6,1.9,2,2
bd4f442afe1d06139398620530a0382d.csv,2,1.5,1.9,2,1.9,2,2,0.6,2,1.9,1.9
bd50ba2623e73d48530757629571b7a5.csv,1.9,1.8,1.9,2,1.5,1.9,2,0.6,1.9,2,2
bd5ae017628bb61c46af1a23cb20fa8f.csv,1.9,1.4,1.9,1.4,2,1.8,2,0.8,2,2,1.9
bd5ca712cad693cb88ff0347057203f9.csv,2,1.9,2,1.9,1.9,1.9,2,0.7,1.7,2,1.9
bd60261ae66072f64667b1a47fa3c099.csv,2,1.5,1,1,2,1,2,0.8,1.9,1.4,2
bd6028a5883d5b1eecb2cc1080a61bb4.csv,0.5,1.9,2,2,1.9,1.8,1.9,0.6,1.9,1.9,2
bd6744d27d0713674d2b22e1d23660a1.csv,2,1.5,2,1.1,1.9,1.5,2,0.8,1.9,1.9,2
bd7f360715663d2e6e4d3ea84f86b23b.csv,2,1.5,2,2,1.9,0.9,2,0.8,2,1.9,2
bd7fe3dddc9883026efb7ca69a75bc3d.csv,1.9,1.5,1.8,2,1.9,1.9,1.9,0.7,1.9,2,2
bd807b42cc593fe3e7fdf94f499b5c28.csv,1.4,1.5,1.9,2,2,1,2,1,2,1.9,1.8
bd80eb5bd9906708646982fa4d4d50f4.csv,1.9,1.4,1.9,2,1.9,1.4,2,0.7,2,2,1.9
bd8ad841aa65f18e4e1bee7a5caf11e5.csv,2,1.5,1,2,2,1,1.4,0.9,2,1.9,2
bd99aed226880ab5a7a859d29dc75acb.csv,1.9,1.7,2,2,1.9,1.9,2,0.7,2,1.9,1.9
bda23083192761fd57f5ac3160dc18f2.csv,2,1.4,1.9,2,1.9,1.5,1.9,1,2,1.9,2
bda25c148a7be1a2b4289ef3f4131ae7.csv,0.6,1.5,1.9,2,1.9,2,1.9,0.6,2,1.9,2
bda504beb4ef4300020b1899201860a0.csv,1.9,1.5,2,2,2,1.8,1.9,0.6,2,2,1.6
bdafcc5b72b5a72339e6dd113c3e65fc.csv,1.9,1.5,1.9,1.9,1.9,2,1.9,0.7,0.8,2,2
bdb874128c6d98ff860b5ff13d4d6f56.csv,1.5,1.5,2,2,2,1.8,1.9,0.7,1.9,1.9,1.9
bdbf8c8f4cc30684d6ebdddaffcf9c83.csv,1.9,1.9,1.9,1.9,1.9,1,2,0.9,2,2,0.7
bdc8c18bf9f94a24ecffab9ec651a2b8.csv,2,1.9,1.9,2,2,1.9,2,1.5,2,2,2
bdc926b4cf0de5feee9143bef2a956cc.csv,1.9,1.9,2,1.3,1.9,2,1.9,0.8,1.9,2,1.7
bdcdd47de86095bb69c63b031117d8f1.csv,1.9,1.5,2,2,0.5,1.5,2,0.8,1.9,1.9,2
